acc_x	acc_y	acc_z	mag	dif_x	dif_y	dif_z	diff_mag
0.07	-0.06	1.08	1.08	865.60	1288.00	899.20	1793.54	
0.07	-0.06	1.08	1.08	861.60	1416.00	927.20	1899.24	
0.06	-0.06	1.07	1.07	847.20	1421.60	889.60	1878.85	
0.06	-0.07	1.08	1.08	847.20	1421.60	1156.00	2018.67	
0.06	-0.08	1.09	1.09	804.80	1668.80	877.60	2050.07	
0.06	-0.10	1.08	1.09	804.80	1568.00	689.60	1892.58	
0.06	-0.09	1.09	1.09	926.40	1568.00	724.00	1959.85	
0.06	-0.08	1.09	1.10	931.20	1592.80	784.00	2004.69	
0.07	-0.08	1.10	1.11	698.40	1592.80	780.00	1906.09	
0.07	-0.08	1.10	1.10	750.40	1520.80	801.60	1875.77	
0.06	-0.08	1.10	1.10	832.00	1609.60	780.00	1972.67	
0.06	-0.07	1.09	1.10	729.60	1459.20	816.80	1824.48	
0.06	-0.08	1.10	1.10	799.20	1316.00	816.80	1742.91	
0.07	-0.07	1.09	1.09	796.80	1316.00	592.00	1648.40	
0.06	-0.06	1.09	1.09	852.80	1341.60	592.00	1696.36	
0.07	-0.04	1.10	1.10	952.00	630.40	744.00	1362.81	
0.08	-0.03	1.10	1.11	775.20	622.40	625.60	1174.60	
0.08	-0.05	1.10	1.10	706.40	344.80	761.60	1094.50	
0.08	-0.05	1.09	1.09	784.00	322.40	752.00	1133.18	
0.08	-0.06	1.09	1.09	808.00	328.00	729.60	1137.00	
0.08	-0.06	1.09	1.09	808.00	232.00	729.60	1113.11	
0.08	-0.07	1.09	1.10	808.00	205.60	636.00	1048.63	
0.08	-0.07	1.10	1.10	812.00	172.00	643.20	1050.06	
0.08	-0.07	1.10	1.10	874.40	242.40	643.20	1112.22	
0.09	-0.07	1.11	1.11	719.20	208.80	393.60	846.03	
0.09	-0.07	1.11	1.11	748.00	238.40	393.60	878.21	
0.08	-0.07	1.10	1.11	701.60	221.60	338.40	809.85	
0.08	-0.07	1.10	1.11	701.60	235.20	338.40	813.68	
0.06	-0.07	1.11	1.11	367.20	236.00	206.40	482.84	
0.07	-0.07	1.11	1.12	475.20	258.40	272.00	605.45	
0.08	-0.07	1.11	1.12	501.60	258.40	235.20	611.30	
0.08	-0.07	1.11	1.11	476.00	298.40	408.80	694.79	
0.07	-0.07	1.11	1.11	509.60	298.40	382.40	703.54	
0.07	-0.06	1.11	1.11	394.40	260.00	373.60	602.27	
0.07	-0.06	1.11	1.11	366.40	200.00	348.00	543.46	
0.07	-0.07	1.11	1.11	398.40	265.60	445.60	654.08	
0.07	-0.07	1.10	1.11	384.80	175.20	350.40	549.13	
0.07	-0.07	1.11	1.11	384.80	175.20	315.20	527.37	
0.08	-0.07	1.11	1.11	255.20	269.60	315.20	486.99	
0.07	-0.06	1.10	1.11	292.00	225.60	308.00	480.65	
0.07	-0.06	1.10	1.11	183.20	162.40	295.20	383.51	
0.07	-0.06	1.11	1.11	149.60	188.80	164.00	291.41	
0.07	-0.06	1.11	1.11	181.60	224.00	168.00	333.73	
0.07	-0.06	1.11	1.11	241.60	268.00	200.00	412.55	
0.07	-0.06	1.11	1.11	196.80	202.40	148.80	319.12	
0.07	-0.06	1.11	1.11	206.40	258.40	144.80	361.02	
0.07	-0.06	1.11	1.11	242.40	386.40	212.80	503.34	
0.07	-0.05	1.11	1.12	175.20	298.40	164.00	382.93	
0.07	-0.06	1.11	1.11	248.80	416.80	232.00	538.00	
0.07	-0.06	1.11	1.11	224.00	380.80	232.00	499.01	
0.07	-0.06	1.11	1.11	233.60	380.80	214.40	495.52	
0.07	-0.07	1.11	1.11	234.40	328.00	188.80	445.17	
0.07	-0.07	1.11	1.11	234.40	292.00	185.60	417.92	
0.07	-0.06	1.11	1.11	288.00	460.80	212.80	583.58	
0.06	-0.06	1.11	1.11	312.80	388.80	214.40	543.12	
0.06	-0.06	1.11	1.11	316.00	400.80	281.60	582.92	
0.07	-0.06	1.10	1.11	333.60	304.80	236.00	509.79	
0.07	-0.06	1.10	1.11	354.40	304.80	246.40	528.41	
0.07	-0.06	1.11	1.11	363.20	292.00	250.40	529.04	
0.07	-0.06	1.11	1.11	351.20	278.40	250.40	513.37	
0.07	-0.06	1.11	1.11	351.20	294.40	336.00	568.25	
0.07	-0.07	1.11	1.11	298.40	387.20	307.20	577.35	
0.07	-0.07	1.11	1.11	291.20	387.20	307.20	573.67	
0.08	-0.07	1.10	1.11	311.20	382.40	353.60	606.72	
0.07	-0.07	1.10	1.11	349.60	445.60	368.00	675.43	
0.08	-0.07	1.11	1.11	519.20	492.00	376.00	808.09	
0.08	-0.07	1.11	1.12	566.40	603.20	314.40	885.16	
0.07	-0.08	1.11	1.11	596.80	545.60	458.40	929.51	
0.07	-0.08	1.10	1.10	596.80	511.20	378.40	872.17	
0.06	-0.09	1.10	1.11	556.80	531.20	447.20	890.05	
0.04	-0.08	1.09	1.10	1197.60	772.00	665.60	1572.66	
0.03	-0.08	1.10	1.10	1197.60	662.40	797.60	1584.04	
0.03	-0.08	1.10	1.10	1197.60	724.00	797.60	1610.77	
